...1,ID,Age,Gender,Condition,Word,ReactionTime
0,s12,19,Female,1,Once,0.6019041908439249
1,s12,19,Female,1,upon,0.2924050120636821
2,s12,19,Female,1,a,0.279033045982942
3,s12,19,Female,1,time,0.24384676106274128
4,s12,19,Female,1,there,0.2594637379515916
5,s12,19,Female,1,was,0.2452078959904611
6,s12,19,Female,1,a,0.2679537180811167
7,s12,19,Female,1,boy,0.258129094960168
8,s12,19,Female,1,named,0.23188582994043827
9,s12,19,Female,1,Thomas.,0.2479185690172017
10,s12,19,Female,1,One,0.25119015807285905
11,s12,19,Female,1,day,0.2722494909539819
12,s12,19,Female,1,walking,0.26574302883818746
13,s12,19,Female,1,home,0.25543392403051257
14,s12,19,Female,1,from,0.2456710389815271
15,s12,19,Female,1,school,0.2543318420648575
16,s12,19,Female,1,he,0.23984886496327815
17,s12,19,Female,1,stopped,0.25845196284353733
18,s12,19,Female,1,at,0.263884600950405
19,s12,19,Female,1,a,0.26221917499788105
20,s12,19,Female,1,red,0.2489947488065809
21,s12,19,Female,1,light,0.260982452891767
22,s12,19,Female,1,and,0.22720270697027445
23,s12,19,Female,1,took,0.24918467295356095
24,s12,19,Female,1,a,0.2574985329993069
25,s12,19,Female,1,deep,0.25044447206892073
26,s12,19,Female,1,breath.,0.2593075840268284
27,s12,19,Female,1,A,0.231065470026806
28,s12,19,Female,1,tall,0.2618456860072911
29,s12,19,Female,1,dark,0.28259116504341364
30,s12,19,Female,1,man,0.21614431403577328
31,s12,19,Female,1,noticed,0.2538288610521704
32,s12,19,Female,1,Thomas',0.2422707797959447
33,s12,19,Female,1,explicit,0.24834083090536296
34,s12,19,Female,1,face,0.24332041991874576
35,s12,19,Female,1,expression,0.2580387301277369
36,s12,19,Female,1,and,0.22784523712471128
37,s12,19,Female,1,asked:,0.2501568039879203
38,s12,19,Female,1,"""Are",0.2364120571874082
39,s12,19,Female,1,you,0.23715062206611037
40,s12,19,Female,1,okay,0.20696729910559952
41,s12,19,Female,1,"son?""",0.2587293479591608
42,s12,19,Female,1,Thomas,0.2181890208739787
43,s12,19,Female,1,reacted,0.2688390528783202
44,s12,19,Female,1,with,0.26551785320043564
45,s12,19,Female,1,a,0.230752089060843
46,s12,19,Female,1,little,0.22666403092443943
47,s12,19,Female,1,squeak,0.27532197581604123
48,s12,19,Female,1,and,0.22962262597866356
49,s12,19,Female,1,a,0.2684858550783247
50,s12,19,Female,1,frightened,0.2265117121860385
51,s12,19,Female,1,jump.,0.23815602506510913
52,s12,19,Female,1,He,0.25076063303276896
53,s12,19,Female,1,then,0.2514191400259733
54,s12,19,Female,1,stuttered:,0.3116426120977849
55,s12,19,Female,1,"""My",0.22812629397958517
56,s12,19,Female,1,mom,0.29082645918242633
57,s12,19,Female,1,always,0.28432135796174407
58,s12,19,Female,1,told,0.26368166506290436
59,s12,19,Female,1,me,0.2721288881730288
60,s12,19,Female,1,not,0.24192187399603424
61,s12,19,Female,1,to,0.2299270429648459
62,s12,19,Female,1,talk,0.29357678699307144
63,s12,19,Female,1,to,0.193665930069983
64,s12,19,Female,1,"strangers"".",0.2531500591430813
65,s12,19,Female,1,The,0.2075589939486235
66,s12,19,Female,1,tall,0.21966497600078583
67,s12,19,Female,1,dark,0.2872771858237684
68,s12,19,Female,1,man,0.256583838025108
69,s12,19,Female,1,replied:,0.24152327212505045
70,s12,19,Female,1,"""But",0.240589153021574
71,s12,19,Female,1,I,0.2455060239881277
72,s12,19,Female,1,am,0.23132747504860163
73,s12,19,Female,1,no,0.21857123682275417
74,s12,19,Female,1,"stranger,",0.23844703705981377
75,s12,19,Female,1,you,0.2172900929581374
76,s12,19,Female,1,already,0.25753760314546525
77,s12,19,Female,1,know,0.22809050790965557
78,s12,19,Female,1,me,0.2332906979136169
79,s12,19,Female,1,very,0.22440030588768425
80,s12,19,Female,1,"well"".",0.2150639579631388
81,s12,19,Female,1,With,0.25172336609102786
82,s12,19,Female,1,a,0.251255766954273
83,s12,19,Female,1,new,0.2525349110364914
84,s12,19,Female,1,look,0.20990317896939817
85,s12,19,Female,1,Thomas,0.23286340292543173
86,s12,19,Female,1,inspected,0.18790373811498284
87,s12,19,Female,1,the,0.25127611588686705
88,s12,19,Female,1,mysterious,0.23479989916086197
89,s12,19,Female,1,figure,0.2347247980069369
90,s12,19,Female,1,and,0.22476399410516024
91,s12,19,Female,1,out,0.24783198698423803
92,s12,19,Female,1,of,0.2187168220989406
93,s12,19,Female,1,thin,0.2161876689642668
94,s12,19,Female,1,air,0.21976281492970884
95,s12,19,Female,1,things,0.21896403701975944
96,s12,19,Female,1,suddenly,0.2331672850996256
97,s12,19,Female,1,made,0.2561516659334302
98,s12,19,Female,1,sense.,0.21870620781555772
99,s12,19,Female,1,Can,0.22082628309726715
100,s12,19,Female,1,it,0.2395388698205352
101,s12,19,Female,1,be?,0.2578907839488238
102,s12,19,Female,1,Is,0.20509004592895508
103,s12,19,Female,1,it,0.208751630038023
104,s12,19,Female,1,really,0.18196562118828297
105,s12,19,Female,1,my,0.21499411412514743
106,s12,19,Female,1,Lego?,0.23328193393535912
107,s12,19,Female,1,Thomas,0.9195511019788682
108,s12,19,Female,1,gathered,0.3969733319245279
109,s12,19,Female,1,all,0.3614014938939363
110,s12,19,Female,1,his,0.2729748149868101
111,s12,19,Female,1,courage,0.2683532510418445
112,s12,19,Female,1,and,0.26713146711699665
113,s12,19,Female,1,hugged,0.24885854311287403
114,s12,19,Female,1,the,0.19933992787264287
115,s12,19,Female,1,suddenly,0.12399703403934836
116,s12,19,Female,1,so,0.1133833359926939
117,s12,19,Female,1,familiar,0.17831395287066698
118,s12,19,Female,1,face,0.1792763378471136
119,s12,19,Female,1,next,0.20320412889122963
120,s12,19,Female,1,to,0.14975404203869402
121,s12,19,Female,1,him.,0.17028029495850203
