...1,ID,Age,Gender,Condition,Word,ReactionTime
0,s3,23,Male,0,Once,1.2548295999999937
1,s3,23,Male,0,upon,0.7726752000000943
2,s3,23,Male,0,a,0.8254907999998977
3,s3,23,Male,0,time,0.7566286999999647
4,s3,23,Male,0,there,0.6479503000000477
5,s3,23,Male,0,was,0.5802819000000454
6,s3,23,Male,0,a,0.5252771000000394
7,s3,23,Male,0,boy,0.5793774000001122
8,s3,23,Male,0,named,0.6997997000000851
9,s3,23,Male,0,Thomas.,0.5339469000000463
10,s3,23,Male,0,One,0.5598739000001842
11,s3,23,Male,0,day,0.5592123000001266
12,s3,23,Male,0,walking,0.5949825000000146
13,s3,23,Male,0,home,0.6199128999999175
14,s3,23,Male,0,from,0.5661882999997943
15,s3,23,Male,0,school,0.559211600000026
16,s3,23,Male,0,he,0.5471996000001127
17,s3,23,Male,0,stopped,0.5268989000001056
18,s3,23,Male,0,at,0.5137423999999555
19,s3,23,Male,0,a,0.5342788000000382
20,s3,23,Male,0,red,0.4841559999999845
21,s3,23,Male,0,light,0.4613233999998556
22,s3,23,Male,0,and,0.4743832999999995
23,s3,23,Male,0,took,0.4861046000000897
24,s3,23,Male,0,a,0.4965356999998676
25,s3,23,Male,0,deep,0.4536831000000347
26,s3,23,Male,0,breath.,0.4331098000000111
27,s3,23,Male,0,A,0.5121642999999949
28,s3,23,Male,0,tall,0.4819413000000168
29,s3,23,Male,0,dark,0.49762040000018715
30,s3,23,Male,0,man,0.5314897000000656
31,s3,23,Male,0,noticed,0.624853499999972
32,s3,23,Male,0,Thomas',0.5883476999999857
33,s3,23,Male,0,explicit,0.5921183000000383
34,s3,23,Male,0,face,0.57382419999999
35,s3,23,Male,0,expression,0.5191575000001194
36,s3,23,Male,0,and,0.542342299999973
37,s3,23,Male,0,asked:,0.5563701999999466
38,s3,23,Male,0,"""Are",0.5033547000000453
39,s3,23,Male,0,you,0.45291739999993297
40,s3,23,Male,0,okay,0.41390320000004976
41,s3,23,Male,0,"son?""",0.5040280000000621
42,s3,23,Male,0,Thomas,0.4853765000000294
43,s3,23,Male,0,reacted,0.4655544999998256
44,s3,23,Male,0,with,0.49132170000007136
45,s3,23,Male,0,a,0.48647110000001703
46,s3,23,Male,0,little,0.4614732000000003
47,s3,23,Male,0,squeak,0.4558330999998361
48,s3,23,Male,0,and,0.41823009999984606
49,s3,23,Male,0,a,0.4085282999999435
50,s3,23,Male,0,frightened,0.44079949999991186
51,s3,23,Male,0,jump.,0.4330568999998832
52,s3,23,Male,0,He,0.44074509999995826
53,s3,23,Male,0,then,0.43032319999997526
54,s3,23,Male,0,stuttered:,0.4482686000001195
55,s3,23,Male,0,"""My",0.4371596000000864
56,s3,23,Male,0,mom,0.39707529999986946
57,s3,23,Male,0,always,0.4158680999998978
58,s3,23,Male,0,told,0.4226526999998441
59,s3,23,Male,0,me,0.4366999000001215
60,s3,23,Male,0,not,0.4734315000000606
61,s3,23,Male,0,to,0.44792290000009416
62,s3,23,Male,0,talk,0.4356900999998743
63,s3,23,Male,0,to,0.42767830000002505
