...1,ID,Age,Gender,Condition,Word,ReactionTime
0,s10,26,Female,1,Once,1.8634094999999888
1,s10,26,Female,1,upon,0.512911000000031
2,s10,26,Female,1,a,0.5369137000000137
3,s10,26,Female,1,time,0.4225655000000188
4,s10,26,Female,1,there,0.3844868999999562
5,s10,26,Female,1,was,0.3162723000000369
6,s10,26,Female,1,a,0.33636439999997947
7,s10,26,Female,1,boy,0.3076025999999956
8,s10,26,Female,1,named,0.31273620000001756
9,s10,26,Female,1,Thomas.,0.38707929999998214
10,s10,26,Female,1,One,0.6641767000000982
11,s10,26,Female,1,day,0.2415973000000804
12,s10,26,Female,1,walking,0.28411819999996624
13,s10,26,Female,1,home,0.29640040000003864
14,s10,26,Female,1,from,0.30570490000002337
15,s10,26,Female,1,school,0.3520319000000427
16,s10,26,Female,1,he,0.3804622999999765
17,s10,26,Female,1,stopped,0.3287384000000202
18,s10,26,Female,1,at,0.3199461000000383
19,s10,26,Female,1,a,0.32134529999996175
20,s10,26,Female,1,red,0.31376560000001064
21,s10,26,Female,1,light,0.2928613999999925
22,s10,26,Female,1,and,0.3212518000000273
23,s10,26,Female,1,took,0.2865291000000525
24,s10,26,Female,1,a,0.31490850000000137
25,s10,26,Female,1,deep,0.3036288999999215
26,s10,26,Female,1,breath.,0.2717815999999402
27,s10,26,Female,1,A,0.5831097000000227
28,s10,26,Female,1,tall,0.29002310000009857
29,s10,26,Female,1,dark,0.2526998000000731
30,s10,26,Female,1,man,0.2747792999999774
31,s10,26,Female,1,noticed,0.2555978000000323
32,s10,26,Female,1,Thomas',0.26194279999992887
33,s10,26,Female,1,explicit,0.2373453000000154
34,s10,26,Female,1,face,0.29125170000008893
35,s10,26,Female,1,expression,0.3259912999999415
36,s10,26,Female,1,and,0.39769739999997
37,s10,26,Female,1,asked:,0.33042089999992186
38,s10,26,Female,1,"""Are",0.4457048000000441
39,s10,26,Female,1,you,0.35672250000004624
40,s10,26,Female,1,okay,0.3000750999999582
41,s10,26,Female,1,"son?""",0.5923505999999179
42,s10,26,Female,1,Thomas,0.9213399999999864
43,s10,26,Female,1,reacted,0.35711479999997664
44,s10,26,Female,1,with,0.3834868999999798
45,s10,26,Female,1,a,0.3687475000000404
46,s10,26,Female,1,little,0.3691585000000259
47,s10,26,Female,1,squeak,0.3038131999999223
48,s10,26,Female,1,and,0.3714234999999917
49,s10,26,Female,1,a,0.33393360000002303
50,s10,26,Female,1,frightened,0.3462440000000697
51,s10,26,Female,1,jump.,0.3216613000000734
52,s10,26,Female,1,He,0.4946637000000465
53,s10,26,Female,1,then,0.28631720000009864
54,s10,26,Female,1,stuttered:,0.2980309000000716
55,s10,26,Female,1,"""My",0.29283829999997124
56,s10,26,Female,1,mom,0.4419435000000931
57,s10,26,Female,1,always,0.34983150000005026
58,s10,26,Female,1,told,0.3386174999999412
