...1,ID,Age,Gender,Condition,Word,ReactionTime
0,s15,14,Male,0,Once,1.0149754999999914
1,s15,14,Male,0,upon,0.7977975000000015
2,s15,14,Male,0,a,0.6635387999999693
3,s15,14,Male,0,time,0.9010643999999955
4,s15,14,Male,0,there,0.8574327999999696
5,s15,14,Male,0,was,0.5395707999999786
6,s15,14,Male,0,a,0.5581657999999834
7,s15,14,Male,0,boy,0.6403440000000273
8,s15,14,Male,0,named,0.6618050999999809
9,s15,14,Male,0,Thomas.,0.6557106000000203
10,s15,14,Male,0,One,0.7768108999999868
11,s15,14,Male,0,day,0.6269151999999849
12,s15,14,Male,0,walking,0.7427748000000065
13,s15,14,Male,0,home,0.6253429999999867
14,s15,14,Male,0,from,0.6063659000000143
15,s15,14,Male,0,school,0.5959603999999672
16,s15,14,Male,0,he,0.5900861000000077
17,s15,14,Male,0,stopped,0.641402400000004
18,s15,14,Male,0,at,0.5851916000000301
19,s15,14,Male,0,a,0.670002199999999
20,s15,14,Male,0,red,0.5906027999999992
21,s15,14,Male,0,light,0.624702300000024
22,s15,14,Male,0,and,0.5969216999999958
23,s15,14,Male,0,took,0.6395764999999756
24,s15,14,Male,0,a,0.6735448999999676
25,s15,14,Male,0,deep,0.6244937000000164
26,s15,14,Male,0,breath.,0.5808905000000095
27,s15,14,Male,0,A,0.6355020999999965
28,s15,14,Male,0,tall,0.6520578999999884
29,s15,14,Male,0,dark,0.6080594000000019
30,s15,14,Male,0,man,0.6040303999999992
31,s15,14,Male,0,noticed,0.7823210000000245
32,s15,14,Male,0,Thomas',0.5924248000000034
33,s15,14,Male,0,explicit,3.2981293999999934
34,s15,14,Male,0,face,1.2383752999999729
35,s15,14,Male,0,expression,1.8445757999999728
36,s15,14,Male,0,and,0.9704504000000044
37,s15,14,Male,0,asked:,0.6461461000000099
38,s15,14,Male,0,"""Are",0.5311179000000266
39,s15,14,Male,0,you,0.5049970999999687
40,s15,14,Male,0,okay,0.5134234999999876
41,s15,14,Male,0,"son?""",0.6229738000000111
42,s15,14,Male,0,Thomas,0.6413749000000166
43,s15,14,Male,0,reacted,0.6097833000000037
44,s15,14,Male,0,with,0.562731900000017
45,s15,14,Male,0,a,0.5703239000000053
46,s15,14,Male,0,little,0.5506659000000127
47,s15,14,Male,0,squeak,0.6093389999999772
48,s15,14,Male,0,and,0.5028316999999447
49,s15,14,Male,0,a,0.4883679000000143
50,s15,14,Male,0,frightened,0.8411380000000008
51,s15,14,Male,0,jump.,0.5591956000000096
52,s15,14,Male,0,He,0.49875090000000455
53,s15,14,Male,0,then,0.5073474000000147
54,s15,14,Male,0,stuttered:,1.987660700000049
55,s15,14,Male,0,"""My",0.8643268999999805
56,s15,14,Male,0,mom,0.6124601999999868
57,s15,14,Male,0,always,0.5524843000000033
58,s15,14,Male,0,told,0.5439566000000013
59,s15,14,Male,0,me,0.34722980000003645
60,s15,14,Male,0,not,0.4327402999999777
61,s15,14,Male,0,to,0.4237826000000382
62,s15,14,Male,0,talk,0.38767070000000103
63,s15,14,Male,0,to,0.4224636000000146
64,s15,14,Male,0,"strangers"".",0.5101687000000084
65,s15,14,Male,0,The,0.5117702000000008
66,s15,14,Male,0,tall,0.534947499999987
67,s15,14,Male,0,dark,0.4540521000000126
68,s15,14,Male,0,man,0.4169367999999736
69,s15,14,Male,0,replied:,0.5142160999999987
70,s15,14,Male,0,"""But",0.5198216000000002
71,s15,14,Male,0,I,0.6168390000000272
72,s15,14,Male,0,am,0.4997789000000239
73,s15,14,Male,0,no,0.5726624000000129
74,s15,14,Male,0,"stranger,",0.5432162999999832
75,s15,14,Male,0,you,0.45421740000000455
76,s15,14,Male,0,already,0.5090342000000305
77,s15,14,Male,0,know,0.5994661000000292
78,s15,14,Male,0,me,0.49045419999998785
79,s15,14,Male,0,very,0.452117899999962
80,s15,14,Male,0,"well"".",0.4871163000000251
81,s15,14,Male,0,With,0.5408739000000082
82,s15,14,Male,0,a,0.5262769999999932
83,s15,14,Male,0,new,0.41975700000000415
84,s15,14,Male,0,look,0.41564070000003994
85,s15,14,Male,0,Thomas,0.4799217999999996
86,s15,14,Male,0,inspected,0.46216190000001234
87,s15,14,Male,0,the,0.4258807000000502
88,s15,14,Male,0,mysterious,0.48388909999999896
89,s15,14,Male,0,figure,0.5775380000000041
90,s15,14,Male,0,and,0.5473084999999855
91,s15,14,Male,0,out,0.4680606000000011
92,s15,14,Male,0,of,0.5449684000000161
93,s15,14,Male,0,thin,0.4082212999999797
94,s15,14,Male,0,air,0.6981091999999762
95,s15,14,Male,0,things,0.57086240000001
96,s15,14,Male,0,suddenly,0.5531913000000372
97,s15,14,Male,0,made,0.4956707000000051
98,s15,14,Male,0,sense.,0.49705430000000206
99,s15,14,Male,0,Can,0.4550110000000131
100,s15,14,Male,0,it,0.5468256999999994
101,s15,14,Male,0,be?,0.48447400000003427
102,s15,14,Male,0,Is,0.4445859999999584
103,s15,14,Male,0,it,0.5178515000000061
104,s15,14,Male,0,really,0.5176971000000208
105,s15,14,Male,0,my,0.5052150000000211
106,s15,14,Male,0,father?,0.6590393999999833
107,s15,14,Male,0,Thomas,0.4951756000000387
108,s15,14,Male,0,gathered,0.496163499999966
109,s15,14,Male,0,all,0.5621558999999934
110,s15,14,Male,0,his,0.4417968999999857
111,s15,14,Male,0,courage,0.6335127000000398
112,s15,14,Male,0,and,0.4859973000000082
113,s15,14,Male,0,hugged,0.4769879000000401
