...1,ID,Age,Gender,Condition,ReactionTime,Word
0,s4,30,Female,0,0.6021357390054618,Once
1,s4,30,Female,0,0.34468075900076656,upon
2,s4,30,Female,0,0.3497256000046036,a
3,s4,30,Female,0,0.27565166400017915,time
4,s4,30,Female,0,0.2923386189941084,there
5,s4,30,Female,0,0.28579741699650185,was
6,s4,30,Female,0,0.2563649490039097,a
7,s4,30,Female,0,0.24707565899734615,boy
8,s4,30,Female,0,0.23525435000192377,named
9,s4,30,Female,0,0.23582085899397495,Thomas.
10,s4,30,Female,0,0.28387503900012234,One
11,s4,30,Female,0,0.21667886000068393,day
12,s4,30,Female,0,0.2505415030027507,walking
13,s4,30,Female,0,0.23117719100264367,home
14,s4,30,Female,0,0.217719981999835,from
15,s4,30,Female,0,0.2467383350012824,school
16,s4,30,Female,0,0.1857087169992155,he
17,s4,30,Female,0,0.24281005100056063,stopped
18,s4,30,Female,0,0.2877518930035876,at
19,s4,30,Female,0,0.2149074679982732,a
20,s4,30,Female,0,0.24056225599633763,red
21,s4,30,Female,0,0.28511860300204717,light
22,s4,30,Female,0,0.21293271799368085,and
23,s4,30,Female,0,0.2307739309981116,took
24,s4,30,Female,0,0.24961583499680273,a
25,s4,30,Female,0,0.2207739470031811,deep
26,s4,30,Female,0,0.2231683729987708,breath.
27,s4,30,Female,0,0.4506164899939904,A
28,s4,30,Female,0,0.16654100300365826,tall
29,s4,30,Female,0,0.22152428899426013,dark
30,s4,30,Female,0,0.2420189189942903,man
31,s4,30,Female,0,0.2609281879995251,noticed
32,s4,30,Female,0,0.1915734669964877,Thomas'
33,s4,30,Female,0,0.4075967250028043,explicit
34,s4,30,Female,0,0.2411862070002826,face
35,s4,30,Female,0,0.25002236300497316,expression
36,s4,30,Female,0,0.29576622899912763,and
37,s4,30,Female,0,0.1917046640010085,asked:
38,s4,30,Female,0,0.3293343220066163,"""Are"
39,s4,30,Female,0,0.3385450729983859,you
40,s4,30,Female,0,0.28192429400223773,okay
41,s4,30,Female,0,0.20042727600230137,"son?"""
42,s4,30,Female,0,0.30071897100424394,Thomas
43,s4,30,Female,0,0.2254111290021683,reacted
44,s4,30,Female,0,0.3151881779995165,with
45,s4,30,Female,0,0.2465629180005635,a
46,s4,30,Female,0,0.28997057500237133,little
47,s4,30,Female,0,0.29178745000535855,squeak
48,s4,30,Female,0,0.4354643290062086,and
49,s4,30,Female,0,0.26791524099826347,a
50,s4,30,Female,0,0.5538770299972384,frightened
51,s4,30,Female,0,0.4234497680008644,jump.
52,s4,30,Female,0,0.5054087280004751,He
53,s4,30,Female,0,0.3553240490000462,then
54,s4,30,Female,0,0.6116329709984711,stuttered:
55,s4,30,Female,0,0.4368427080044057,"""My"
56,s4,30,Female,0,0.4508212319997256,mom
57,s4,30,Female,0,0.7316161609996925,always
58,s4,30,Female,0,0.29141934200015385,told
59,s4,30,Female,0,0.2761310880014207,me
60,s4,30,Female,0,0.2578947059955681,not
61,s4,30,Female,0,0.2944030910002766,to
62,s4,30,Female,0,0.24181080600101268,talk
63,s4,30,Female,0,0.28211056400323287,to
64,s4,30,Female,0,0.23773251500097103,"strangers""."
65,s4,30,Female,0,0.48614465599530376,The
66,s4,30,Female,0,0.24458578499616124,tall
67,s4,30,Female,0,0.2406208800020977,dark
68,s4,30,Female,0,0.2860281670000404,man
69,s4,30,Female,0,0.2010495610011276,replied:
70,s4,30,Female,0,0.4822573130004457,"""But"
71,s4,30,Female,0,0.22475194500293583,I
72,s4,30,Female,0,0.24252964899642393,am
73,s4,30,Female,0,0.25677887100027874,no
74,s4,30,Female,0,0.27935883299505804,"stranger,"
75,s4,30,Female,0,0.3239545870019356,you
76,s4,30,Female,0,0.2786010690033436,already
77,s4,30,Female,0,0.2500349589972757,know
78,s4,30,Female,0,0.30636171600053785,me
79,s4,30,Female,0,0.2800238880008692,very
80,s4,30,Female,0,0.3092820430028951,"well""."
81,s4,30,Female,0,0.3525854000035906,With
82,s4,30,Female,0,0.32260449200111907,a
83,s4,30,Female,0,0.25127341900224565,new
84,s4,30,Female,0,0.30288357400422683,look
85,s4,30,Female,0,0.5621460399997886,Thomas
86,s4,30,Female,0,0.7913253189981333,inspected
87,s4,30,Female,0,0.43556542599981185,the
88,s4,30,Female,0,0.47616612399724545,mysterious
89,s4,30,Female,0,0.3886185489973286,figure
90,s4,30,Female,0,0.25829982100549387,and
91,s4,30,Female,0,0.26425612299499335,out
92,s4,30,Female,0,0.2530503310044878,of
93,s4,30,Female,0,0.25511200899927644,thin
94,s4,30,Female,0,0.264796880997892,air
95,s4,30,Female,0,0.2973755350030842,things
96,s4,30,Female,0,0.2979548479997902,suddenly
97,s4,30,Female,0,0.30064402599964524,made
98,s4,30,Female,0,0.28241428400360746,sense.
99,s4,30,Female,0,0.48620382499939296,Can
